Trial, Direction, Robot Observed,      Actually Traveled (in)
1,     x,         -122.14352729069171, 117
2,     x,         -122.05213538077433, 117
3,     x,         121.81602670584219,  117
4,     x,         -122.38285550016106, 117
1,     y,         -79.72420025212426,  78
2,     y,         78.44893454679955,   78
3,     y,         -79.83352652768986,  78
4,     y,         77.96186465219586,   78
